Hero,Times picked,Win rate %
antimage,13,0.62
axe,11,0.45
bane,0,0
bloodseeker,11,0.64
crystal_maiden,18,0.22
drow_ranger,12,0.5
earthshaker,17,0.53
juggernaut,25,0.6
mirana,10,0.7
nevermore,14,0.57
morphling,6,0.33
phantom_lancer,12,0.42
puck,9,0.33
pudge,40,0.42
razor,8,0.88
sand_king,4,0.25
storm_spirit,10,0.5
sven,0,0
tiny,17,0.59
vengefulspirit,4,0.5
windrunner,23,0.61
zuus,13,0.46
kunkka,8,0.62
lina,13,0.69
lich,10,0.5
lion,28,0.5
shadow_shaman,7,0.57
slardar,6,1.0
tidehunter,7,0.43
witch_doctor,11,0.64
riki,9,0.44
enigma,7,0.29
tinker,3,0.0
sniper,17,0.35
necrolyte,5,0.8
warlock,1,0.0
beastmaster,1,0.0
queenofpain,7,0.29
venomancer,10,0.6
faceless_void,18,0.44
skeleton_king,10,0.5
death_prophet,4,0.25
phantom_assassin,25,0.6
pugna,2,1.0
templar_assassin,9,0.56
viper,9,0.22
luna,1,0.0
dragon_knight,4,0.5
dazzle,5,0.4
rattletrap,9,0.44
leshrac,3,0.67
furion,8,0.25
life_stealer,15,0.47
dark_seer,4,0.0
clinkz,3,0.33
omniknight,0,0
enchantress,3,0.67
huskar,12,0.5
night_stalker,4,0.75
broodmother,0,0
bounty_hunter,4,1.0
weaver,4,0.25
jakiro,8,0.5
batrider,2,0.5
chen,0,0
spectre,3,0.67
doom_bringer,7,0.57
ancient_apparition,5,0.6
ursa,5,0.4
spirit_breaker,6,0.67
gyrocopter,6,0.5
alchemist,7,0.43
invoker,25,0.6
silencer,14,0.5
obsidian_destroyer,12,0.42
lycan,2,0.0
brewmaster,3,0.33
shadow_demon,1,1.0
lone_druid,4,0.25
chaos_knight,3,1.0
meepo,4,0.5
treant,10,0.5
ogre_magi,23,0.48
undying,2,0.0
rubick,24,0.38
disruptor,13,0.54
nyx_assassin,7,0.71
naga_siren,2,0.0
keeper_of_the_light,0,0
wisp,5,0.2
visage,0,0
slark,26,0.62
medusa,7,0.43
troll_warlord,7,0.86
centaur,3,0.33
magnataur,10,0.6
shredder,6,0.33
bristleback,8,0.25
tusk,5,0.4
skywrath_mage,12,0.5
abaddon,6,0.5
elder_titan,1,1.0
legion_commander,16,0.5
ember_spirit,6,0.67
earth_spirit,1,1.0
terrorblade,3,0.33
phoenix,4,0.5
oracle,3,0.33
techies,5,0.8
winter_wyvern,12,0.58
arc_warden,1,0.0
abyssal_underlord,4,0.5
monkey_king,12,0.5
pangolier,7,0.29
dark_willow,7,0.29
grimstroke,5,0.8
mars,5,0.2
void_spirit,5,0.4
snapfire,17,0.53
